"","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude"
"270",4.93,105.297677048642,104.9,"NF",517.788995,2.719481,44.5418,6.6932,43.6991,7.28533
"271",4.93,104.500721489567,104.1,"NF",390.24436,2.678315,44.5418,6.6932,43.707,7.283
"272",4.93,156.56717661068,156.3,"NF",1003,0.259704,44.5418,6.6932,45.892,6.136
"273",4.93,157.864976457224,157.6,"NF",240,1.426153,44.5418,6.6932,45.9036,6.13289
"274",4.93,137.404515179961,137.1,"NF",196,2.1648055,44.5418,6.6932,45.6345,5.88419
"275",4.93,121.843509436654,121.5,"NF",1383,0.5854635,44.5418,6.6932,43.7323,5.67181
"276",4.93,131.218904094799,130.9,"NF",1454,0.4119075,44.5418,6.6932,45.5888,5.933
"277",4.93,103.305376393681,102.9,"NF",377.266329,3.0287285,44.5418,6.6932,45.1993,5.776
"278",4.93,104.201875183895,103.8,"NF",194,3.934626,44.5418,6.6932,45.1815,5.7365
"279",4.93,162.25779115913,162,"NF",353.884069,1.1531225,44.5418,6.6932,45.9341,6.08369
"280",4.93,101.612158681134,101.2,"NF",259,5.198238,44.5418,6.6932,45.2088,5.821
"281",4.93,104.301489883127,103.9,"NF",599,1.2751905,44.5418,6.6932,45.2419,5.82181
"282",4.93,111.87421862002,111.5,"NF",763,0.5096535,44.5418,6.6932,45.5326,6.473
"283",4.93,160.261008332782,160,"NF",389,1.036703,44.5418,6.6932,45.9204,6.10439
"284",4.93,105.795797609546,105.4,"NF",913,0.483579,44.5418,6.6932,45.1954,5.7265
"285",4.93,103.106162724834,102.7,"NF",620,1.002197,44.5418,6.6932,45.137,5.6995
"286",4.93,161.459068471981,161.2,"NF",309.670408,0.569827,44.5418,6.6932,45.9225,6.06319
"287",4.93,107.987734450909,107.6,"NF",380.771589,2.164393,44.5418,6.6932,45.2043,5.6995
"288",4.93,168.648008561738,168.4,"NF",1500,0.082643,44.5418,6.6932,46.0567,6.75611
"289",4.93,104.899193475641,104.5,"NF",324.553727,2.5572645,44.5418,6.6932,45.193,5.74
"290",4.93,105.297677048642,104.9,"NF",430.863513,4.595851,44.5418,6.6932,43.6706,7.1972
"291",4.63,144.446564514356,144.1,"SS",976,0.638628,45.66,14.25,46.185738,12.551873
"292",4.63,75.1681448487323,74.5,"SS",907.668089,1.1914825,45.66,14.25,46.09115,13.514766
"293",4.63,74.1771528167535,73.5,"SS",768.513963,1.4581925,45.66,14.25,46.1667,13.6417
"294",4.63,157.71734210289,157.4,"SS",1079.784953,0.4693775,45.66,14.25,46.451317,12.562712
"295",4.63,156.719367022714,156.4,"SS",873.895124,0.482303,45.66,14.25,46.572498,12.709
"296",4.63,127.09402031567,126.7,"SS",458,1.618322,45.66,14.25,46.381482,12.983997
"297",4.63,175.485156067401,175.2,"SS",326.378925,0.4862925,45.66,14.25,45.8361,12.0131
"298",4.63,152.727731601042,152.4,"SS",1151.594333,0.610273,45.66,14.25,46.015,12.3552
"299",4.63,137.065276419668,136.7,"SS",1101.741113,2.14255,45.66,14.25,46.2601,12.7104
"300",4.63,142.251924415805,141.9,"SS",557.617529,1.774775,45.66,14.25,46.0266,12.5005
"301",4.63,144.845607458424,144.5,"SS",680.125744,0.456393,45.66,14.25,46.4258,12.7419
"302",4.63,110.752381464238,110.3,"SS",726.182137,2.871223,45.66,14.25,46.281898,13.1409
"496",4.36,114.124493427134,113.8,"SS",469.647131,0.2628375,43.6058,11.2405,44.2393,10.1273
"497",4.36,50.1429955228046,49.4,"SS",1000,1.454299,43.6058,11.2405,43.747646,11.821428
"498",4.36,68.7400901948783,68.2,"SS",829,0.817211,43.6058,11.2405,43.889511,11.991291
"499",4.36,39.7416657929685,38.8,"SS",857.244383,7.1489215,43.6058,11.2405,43.954205,11.212867
"500",4.36,158.233877535754,158,"SS",715.963599,0.109936,43.6058,11.2405,44.5304,9.7428
"501",4.36,85.0359923796977,84.6,"SS",316,0.7154065,43.6058,11.2405,43.3683,12.2346
"502",4.36,16.6868211472407,14.3,"SS",808.766585,7.3982015,43.6058,11.2405,43.478798,11.269104
"503",4.36,85.4339510967391,85,"SS",785.398546,0.433117,43.6058,11.2405,43.9543,10.3012
"504",4.36,134.275686555683,134,"SS",359.259753,0.3524555,43.6058,11.2405,44.7823,10.8703
"505",4.36,100.169855745129,99.8,"SS",541,0.2560805,43.6058,11.2405,44.137005,12.241408
"506",4.36,68.541666160081,68,"SS",890.927262,0.33631,43.6058,11.2405,42.994091,11.282305
"507",4.36,93.3967879533338,93,"SS",292,0.3298025,43.6058,11.2405,44.298016,11.890746
"508",4.36,16.2603812993423,13.8,"SS",760.900725,9.4940855,43.6058,11.2405,43.601456,11.411619
"509",4.36,24.3680118187759,22.8,"SS",765.918906,3.26342,43.6058,11.2405,43.807251,11.294385
"510",4.36,149.247981560891,149,"SS",351.495505,0.038466,43.6058,11.2405,43.0263,12.896506
"511",4.36,60.1183000424995,59.5,"SS",985.604174,1.0451245,43.6058,11.2405,44.12928,11.39785
"512",4.36,140.363706135169,140.1,"SS",929.25549,0.0388765,43.6058,11.2405,42.803818,12.570145
"513",4.36,82.4497422676384,82,"SS",568,0.3671825,43.6058,11.2405,43.994366,12.107441
"514",4.36,194.789938138498,194.6,"SS",800,0.0098965,43.6058,11.2405,42.249229,12.748319
"515",4.36,52.7063563529106,52,"SS",582.880396,1.782802,43.6058,11.2405,43.139698,11.182792
"516",4.36,59.3266381990418,58.7,"SS",914.89069,2.7924935,43.6058,11.2405,44.064131,11.603387
"517",4.36,28.2412818405964,26.9,"SS",330.912386,6.497782,43.6058,11.2405,43.533335,11.558596
"518",4.36,49.5519928963508,48.8,"SS",850.675445,3.0452955,43.6058,11.2405,43.989647,10.944552
"519",4.36,19.4092761328186,17.4,"SS",579.014975,10.8708805,43.6058,11.2405,43.490568,11.385548
"520",4.36,119.509832231495,119.2,"SS",690.681372,0.1572715,43.6058,11.2405,43.873901,12.6739
"521",4.36,62.4945597632306,61.9,"SS",948.140989,0.7026235,43.6058,11.2405,44.064114,10.803726
"522",4.36,56.4588345611207,55.8,"SS",486,0.843221,43.6058,11.2405,43.908112,11.794457
